Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Villeray-“Saint-Michel-“Parc-Extension,Église,Auditorium Le Prévost,"7355, avenue Christophe-Colomb",H2R 2S5,Montréal,QC,514 872-6131,"http://ville.montreal.qc.ca/portal/page?_pageid=1576,53807806&_dad=portal&_schema=PORTAL",-73.6145768,45.5438869
Pierrefonds-Roxboro,Église,Centre communautaire de l'Est,"9665, Gouin boulevard West",H8Y 1R4,Montreal,QC,514 684-0091,http://ville.montreal.qc.ca/culture/centre-communautaire-de-lest,-73.7858832,45.5048823
Verdun,Église,Centre communautaire Elgar,"260, rue Elgar",H3E 1C9,Montréal,QC,514 765-7270,"www.facebook.com/verdunenscene,http://www.accesculture.com/emplacement/CentreCommunautaireElgar",-73.5466571,45.4571408
Saint-Laurent,Église,Centre des loisirs de Saint-Laurent,"1375, rue Grenet",H4L 5K3,Montréal,QC,514 855-6110,"https://www.facebook.com/ArrSaintLaurent,http://ville.montreal.qc.ca/portal/page?_pageid=7937,86683617&_dad=portal&_schema=PORTAL",-73.6913545,45.5140704
Verdun,Église,Église Notre-Dame-des-Sept-Douleurs,"4155, rue Wellington",H4G 1V8,Montréal,QC,514 761-3496,www.facebook.com/verdunenscenes,-73.5670442,45.4627187
Ahuntsic-Cartierville,Église,Maison de la culture Ahuntsic-Cartierville,"10300, rue Lajeunesse, 1er étage",H3L 2E5,Montréal,QC,514 872-8749,"www.facebook.com/mcahuntsic,http://ville.montreal.qc.ca/portal/page?_pageid=7957,87797581&_dad=portal&_schema=PORTAL",-73.6639985,45.5537471
Côte-des-Neiges-“Notre-Dame-de-Grâce,Église,Maison de la culture de Côte-des-Neiges,"5290, chemin de la Côte-des-Neiges",H3T 1Y2,Montréal,QC,514 872-6889,"http://ville.montreal.qc.ca/portal/page?_pageid=7497,80863570&_dad=portal&_schema=PORTAL",-73.6221234,45.4960871
Côte-des-Neiges-“Notre-Dame-de-Grâce,Église,Maison de la culture de Notre-Dame-de-Grâce,"3755, rue Botrel",H4A 3G8,Montréal,QC,514 872-2157,"https://www.facebook.com/pages/Maison-de-la-culture-de-Notre-Dame-de-Gr%C3%A2ce/104441819595418?fref=ts,http://ville.montreal.qc.ca/portal/page?_pageid=7497,80868152&_dad=portal&_schema=PORTAL",-73.614579,45.47551
Le Plateau-Mont-Royal,Église,Maison de la culture du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est",H2J 1W3,Montréal,QC,514 872-2266,"https://www.facebook.com/maisondelacultureduplateau,http://ville.montreal.qc.ca/portal/page?_pageid=7297,74439577&_dad=portal&_schema=PORTAL",-73.5823694,45.5248239
