Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Pierrefonds-Roxboro,"Espace pour la vie,Musée municipal",Centre culturel de Pierrefonds,"13850, boulevard Gouin Ouest",H8Z 1X7,Montréal,QC,"514 620-4181, #203","http://ville.montreal.qc.ca/portal/page?_pageid=8377,93751586&_dad=portal&_schema=PORTAL",-73.8497928,45.4969306
Verdun,"Espace pour la vie,Musée municipal",Centre culturel de Verdun,"5955, rue Bannantyne",H4H 1H6,Montréal,QC,514 765-7170,"www.facebook.com/verdunenscenes,http://www.accesculture.com/emplacement/Centre_culturel_de_Verdun",-73.5770269,45.4482057
LaSalle,"Espace pour la vie,Musée municipal",Centre culturel et communautaire Henri-Lemieux ,"7644, rue Édouard",H8P 1T3,Montréal,QC,514 367-5000,"http://fr-ca.facebook.com/pages/Centre-culturel-Henri-Lemieux/161718413908790,http://www.ccchl.ca/index.php?option=com_content&task=view&id=87&Itemid=99",-73.5944331,45.4309849
Saint-Laurent,"Espace pour la vie,Musée municipal",Centre d'exposition Lethbridge de la bibliothèque du Boisé,"2727, boulevard Thimens",H4R 1T4,Montréal,QC,514 855-6130   #4443,"https://www.facebook.com/ArrSaintLaurent,http://ville.montreal.qc.ca/portal/page?_pageid=7937,117735576&_dad=portal&_schema=PORTAL",-73.7057204,45.5028475
Ville-Marie,Musée municipal,Chapelle historique du Bon-Pasteur,"100, rue Sherbrooke Est",H2X 1C3,Montréal,QC,514 872-5338,"http://www.accesculture.com/emplacement/Chapelle_historique_du_Bon_Pasteur,http://ville.montreal.qc.ca/portal/page?_pageid=6917,68929665&_dad=portal&_schema=PORTAL",-73.5685097,45.5134842
Rosemont-“La Petite-Patrie,Musée municipal,Cinéma Beaubien,"2396, rue Beaubien Est",H2G 1N2,Montréal,QC,514 721-6060,"http://www.facebook.com/CinemaBeaubien,http://cinemabeaubien.com/",-73.5921194,45.5480525
Ahuntsic-Cartierville,Musée municipal,Église évangélique arménienne,"11455, rue Drouart",H3M 2S6,Montréal,QC,514 872-8749,http://www.accesculture.com/,-73.6873676,45.5363408
Lachine,Théâtre,Musée de Lachine,"1, chemin du Musée",H8S 4L9,Lachine,QC,514 634-3478,"https://www.facebook.com/VieuxLachineBergesEtCulture,www.museedelachine.com,http://ville.montreal.qc.ca/portal/page?_pageid=3156,3575643&_dad=portal&_schema=PORTAL",-73.6659764,45.4309847
Le Sud-Ouest,Musée municipal,Le Musée des beaux-arts de Montréal,"1380, rue Sherbrooke",H3G 1J5,Montréal,QC,514 285-2000,https://www.mbam.qc.ca/en/,73.5794,45.4985
