Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Ahuntsic-Cartierville,Centre communautaire,Bibliothèque De Salaberry,"4170, rue de Salaberry",H4J 1H1,Montréal,QC,514 872-1521,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=54",-73.703999,45.5347082
Verdun,Centre communautaire,Bibliothèque Jacqueline-De Repentigny ,"5955, rue Bannantyne",H4H 1H6,Montréal,QC,514 765-7170,"https://www.facebook.com/bibliothequesdeverdun,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=56",-73.5770269,45.4482057
Lachine,Centre communautaire,Bibliothèque Saul-Bellow,"800, rue Sherbrooke",H8S 1H2,Lachine,QC,514 872-5080,"https://www.facebook.com/bibliothequesdelachine,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=55",-73.6709621,45.4449735
Rivière-des-Prairies-“Pointe-aux-Trembles,Centre des loisirs,Cégep Marie-Victorin -“ Salle Désilets ,"7000, rue Marie-Victorin",H1G 2J6,Montréal,QC,514 328-3878,http://www.collegemv.qc.ca/fr-CA/Accueil/Services_a_la_communaute/centre_culturel_espace_7000/index.aspx,-73.6095497,45.6158376
Anjou,Le Sud-Ouest,Centre communautaire d'Anjou,"7800, boulevard Métropolitain Est",H1K 1A1,Anjou,QC,514 493-8222,"http://ville.montreal.qc.ca/portal/page?_dad=portal&_pageid=6958,70505573&_schema=PORTAL",-73.5641662,45.606488
Anjou,Noms du réseau,Église Jean XXIII,"7101, avenue de l'Alsace",H1J 2K5,Montréal,QC,514 493-8200,http://www.accesculture.com/emplacement/EgliseJeanXXIII,-73.5821982,45.6044108
Ville-Marie,Ville-Marie,"Pointe-à -Callière, cité d'archéologie et d'histoire de Montréal","350, Place Royale",H2Y 3Y5,Montréal,QC,514 872-9150,"http://www.facebook.com/PointeaCalliere,http://pacmusee.qc.ca",-73.5540592,45.5025678
