Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Mercier-“Hochelaga-Maisonneuve,Bibliothèque,Bibliothèque de Mercier,"8105, rue Hochelaga",H1L 2K9,Montréal,QC,514 872-8738,"https://www.facebook.com/pages/Biblioth%C3%A8que-Mercier/127819790586931,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=31",-73.5233452,45.5957371
Le Plateau-Mont-Royal,Bibliothèque,Bibliothèque Mordecai-Richler,"5434, avenue du Parc",H2V 4G7,Montréal,QC,514 872-2141,"https://fr-fr.facebook.com/bibliothequedumileend,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=32",-73.6015691,45.5219052
Côte-des-Neiges-“Notre-Dame-de-Grâce,Bibliothèque,Bibliothèque de Notre-Dame-de-Grâce,"3755, rue Botrel",H4A 3G8,Montréal,QC,514 872-2398,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=35",-73.614579,45.47551
LaSalle,Bibliothèque,Bibliothèque L'Octogone,"1080, avenue Dollard",H8N 2T9,Montréal,QC,514 367-6376,"https://fr-ca.facebook.com/BibliothequeLOctogone,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=28",-73.6234491,45.4243396
Villeray-“Saint-Michel-“Parc-Extension,Bibliothèque,Bibliothèque de Parc-Extension,"421, rue Saint-Roch",H3N 1K2,Montréal,QC,514 872-6071,"https://www.facebook.com/bibliodeparcextension,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=36",-73.6284967,45.5311737
Ville-Marie,Bibliothèque,Bibliothèque Père-Ambroise,"2093, rue de la Visitation",H2L 3C9,Montréal,QC,514 872-1633,"https://fr-fr.facebook.com/BiblioPereAmbroise,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=11",-73.5626701,45.5227892
Pierrefonds-Roxboro,Bibliothèque,Bibliothèque de Pierrefonds,"13555, boulevard Pierrefonds",H9A 1A6,Montréal,QC,514 620-4181,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=37",-73.8471715,45.4951911
Le Plateau-Mont-Royal,Bibliothèque,Bibliothèque du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est",H2J 1W3,Montréal,QC,514 872-2271,"https://www.facebook.com/bibliothequeduplateaumontroyal,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=38",-73.5823694,45.5248239
Rivière-des-Prairies-“Pointe-aux-Trembles,Bibliothèque,Bibliothèque de Pointe-aux-Trembles,"14001, rue Notre-Dame Est",H1A 1T9,Montréal,QC,514 872-6987,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=39",-73.4944049,45.6677173
Rivière-des-Prairies-“Pointe-aux-Trembles,Bibliothèque,Bibliothèque de Rivière-des-Prairies,"9001, boulevard Perras",H1E 3J7,Montréal,QC,514 872-9425,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=43",-73.5788179,45.6496356
